,job_title,company_name,job_location,job_requirement,job_description
0,Software Engineer,qTech.  -,"Mansoura, Dakahlia, Egypt ","More than 1 year of experience.Bachelor’s degree in Computer Science, Software Engineering, or similar field.Proven work experience as a Software Test Engineer.Strong attention to detail.Ability to collate data and compile test reports.Strong  Analytical  skills.",Using the software as intended to analyze its functional properties.Designing test procedures to evaluate each software product.Running test programs to ensure that testing protocols evaluate the software correctly.Tweaking the software testing systems for maximum performance.Finalizing and documenting testing procedures.Completing final tests and creating test reports.Presenting test reports to management and suggesting software fixes.Reporting and documenting technical issues.Review and analyze system specifications.Execute test cases (manual or automated) and analyze results.Evaluate product code according to specifications.Report bugs and errors to development teams.Conduct post-release/ post-implementation testing.Work with cross-functional teams to ensure quality throughout the software development life-cycle.
1,Software Engineer,HITS Solutions -,"Nasr City, Cairo, Egypt ","Job Requirements:Bachelor’s Degree in computer engineering / Computer Science / Mechatronics / Electronics & Communication Engineering / or any related discipline.1-3 Years of Experience.Technologies:Strong background in object-oriented development techniques.Strong .NET Knowledge.Solid knowledge of ASP.Net Core.Solid knowledge of MVC and Razor.Good experience in RESTful APIs.Solid Knowledge of HTML5/CSS3 and modern web scripting and development (JavaScript, jQuery, Ajax, JSON, etc.).Database design and development (Microsoft SQL Server).Good knowledge of Bootstrap and Angular.Good Knowledge of DevOps development.Knowledge of Microservices and Docker is a plus.Knowledge of Xamarin is a plus.","General duties and responsibilities:Design, build, and maintain efficient, reusable, and reliable code.Develop, maintain and optimize scalable APIs.Deliver the assigned tasks within due time frame and minimum percentage of bugs.Investigate and research new technologies.Review and refactor code.Developing Integration Programs.Working closely with other developers, UX designers, business and systems analysts.Analyze code for performance enhancement and present detailed plans to improve them."
2,Software Engineer,Noases -,"Cairo, Egypt "," Bachelor of Science degree or higher in Computer Science, Engineering, Applied Mathematics, or a related technical field  (0 – 2) years of experience in developing image analytics algorithms and applications using C, C++, or other programming languages Knowledge of OpenCV and other open-source image processing, computer vision, or data mining libraries Knowledge of pattern classification, image-based object detection, and object matching Primary experience in building machine learning models and datasets Ability to define system or software requirements and perform requirement analysis Ability to create system or software architecture, design, and specifications Ability to perform system or software design reviews, technical assessments, and trade-off study Ability to create system/software development and integration plans, test plans, and test cases Ability to create and implement advanced algorithms to solve real customer's problems Ability to design and develop software applications Ability to perform system and software integration, installation, configuration, and testing Ability to create technical documentation such as user stories, requirements, design specifications, architectural diagrams, and user manuals Ability to adhere to schedules and work well in a highly collaborative environment on product development projects in a cross-functional, matrix environment and manage the technical team as an assistant Strong Arabic and English language knowledge, both spoken and written. ","Understand the problem and requirements and create applications, algorithms, test frameworks, and environment Design data, image, and video analytics algorithms and evaluate performance on a large dataset Design, train, and optimize Deep Neural Networks to implement on embedded DSP platforms Implement and integrate algorithms into the overall solution Identify, validate, and document business needs and requirements Gather, research, and analyze system and operation processes and data to understand and formulate problems and opportunities Identify and evaluate solution concepts; formulate core problems into tractable mathematical problems Identify, validate, and document solution requirements Develop, analyze, and document solution architecture; identify and document interface, application, and hardware requirements Research and evaluate image, video, and data analysis algorithms and packages based on image processing or machine learning. Create software development and integration plans, test plans, test cases, and acceptance criteria Design and develop software applications and algorithms Design and develop data-gathering applications and test applications Perform testing; gather, analyze, and document test results Create and review documentation for application release; provide technical training to end users and technical support staff as required  Research, validate, troubleshoot, and resolve system or software issues and provide technical support regarding system or software capabilities, issues, and technical questions Identify, define, gather, and analyze solution operational performance metrics and determine necessary corrective actions and/or improvements. "
3,Software Engineer,SE Wiring Systems EGYPT -,"6th of October, Giza, Egypt ",Bachelor degree in computer scienceFresh graduateSystems training /Micro soft Sysco & VMwareCommunication skills /English language  / Trouble shooting skillsMales Only ,"Support both the IT manager & Central IT engineers to build IT systems that supports the day to day operationsOperate daily back-up systems to assure the data are retrievable in case of System failure Ensure that all systems are updated and batched with the latest form all vendors according to IT security standards eliminating systems vulnerability Supervise IT technician in system maintenance & users help desk activities Review , Resolve & Close help desk calls and educate the users about the best practices in doing so he/she do one on one meetings Monitor & report system performance & correct system deviations to make sure operations are within performance standardsHelpdesk support for laptops, servers , systems ,….. etc. at officeProject installation for IT infrastructure at site"
4,Software Engineer,eelu -,"Dokki, Giza, Egypt ","Qualifications:BSc degree from Telecommunication Engineering or Telecom and Electronics.Excellent command of English language.1 To 3 years of experience in the field of Networks and Network security.Cisco Certified Network Professional (CCNA) is must.CCNA Security and CCNP are preferred.Good knowledge of firewall appliances (Forti-Gate, Palo-Alto and Cisco Meraki).Interpersonal Skills:Customer Focus.Excellent communication skills.Problem solving and progressive thinking skills.Consistency and flexibility.General RequirementsAge shall not exceed 35 years old on applying.Applicants is preferable Giza residents ","Responsible for all network and security related to active and passive (WAN – LAN - WLAN – Switching- Routing – firewalls - VOIP System - Cabling).Configure switches VLANs, IP addresses designs, Port Channel, VPC Virtual port channel, HA services, and Network Design.Responsible for Internet and VPN connectives (Leased lines fiber, PRI Circuits and Voice Gateways).Configure, implement, and maintain all security platforms and any other related software, such as anti-virus, routers, Anti-SPAM, switches, intrusion detection or intrusion prevention, firewalls.Monitor network traffic for unusual activity, and all connections running from/to Main datacenter and different sites.Monitoring all network infrastructure systems hardware/software to ensure that systems are up and running as well patched with latest security updates.Prepare activity reports and plans and able to present them to management.Diagnose/ Monitor and correct computer systems issues and performance issues provide hands-on system administration support, system maintenance, and operations support and networks."
5,Software Engineer,British University of Egypt -,"Shorouk City, Cairo, Egypt ","Educational Qualifications : bachelor’s degree in a computer-related field Experience : 0-2 experience Technical Skills : Skilled English reading, writing & speaking skills.knowledge of computer systems Internet Tools and various browsers. perform tests on the system and equipment to ensure that every component of the lab is working properly","The operation of the computers and the network, supervision of lab equipment and facilities, keeping records of equipment and lab supplies, and maintaining the security of the lab. They assist students in the lab by demonstrating the proper use of the equipment and how to use the hardware and software to finish assignments. If any system or technical problems arise, the computer lab engineer may be called to provide assistance such as, setup of software, checking the network operation, clearing paper jams in printers and copiers, refilling ink toners and supplying paper. They are often responsible for the cleanliness of the lab to ensure safety and proper working conditions for the lab users and proper maintenance of the computers. They also prepare the computer lab schedule, provide backup of software, and perform equipment repairs or arrange for repairs to be completed. They procure parts and maintain inventory and related documentation.Computer lab engineers may be responsible for demanding the purchasing of supplies and replacement equipment."
6,Software Engineer,Micro Engineering -,"Heliopolis, Cairo, Egypt ","Resident in Cairo / Tanta - bachelor’s in mechanical engineering (1-2 years experience)Experience with different CAD software packages.Familiar with all engineering DWGs and documents (P&ID, isometrics, material form, GAs…etc.)Aware of international piping codes and standards (ASME, API, ASTM….)Analysis of Pipeline survey, drawing ISO's & data gathering for offshore complexes, onshore process area including (equipment, valves, pipes…etc.)Ability to work in a busy environment, and prioritize and work with multiple projects at a time while managing tight deadlinesStrong written and verbal communication skills with a high degree of integrity, confidentiality, and professionalismExcellent communication skillsCreativity and adaptability skillsExcellent collaboration and leadership skills",P&IDs data verification at the site (comparing with the existing and available dataAs-built P&IDs and PFDs data Acquisition and sketching from the sitePrepare the final As-Built P&IDs and PFDsCoordinate with Laser scanning and 3D modeling teams to verify the piping data with the laser scanning data
7,Software Engineer,Micro Engineering -,"Heliopolis, Cairo, Egypt ","Bachelors in civil engineering (0 or 1-year experience) - 2021, 2022 & 2023 only.Heliopolis, Nasr City, New Cairo resident is a must.Experience with different CAD software packages.Experience with GPS, Total station, levelWilling to learn and develop your technical skills fastGreat attention to detailAbility to work in a busy environment, and prioritize and work with multiple projects at a time while managing tight deadlinesStrong written and verbal communication skills with a high degree of integrity, confidentiality, and professionalismExcellent communication skillsCreativity and adaptability skillsExcellent collaboration and leadership skills"," Surveying using different instruments (level, total station, GPS, and Laser scanner)Laser scanning data processingTasks related to Laser scanning applications: 2D drawings,3D Modeling, and BIMProcessing and calculations from survey data, architectural plans, and engineering drawings"
8,Software Engineer,Xceed Contact Center -,"6th of October, Giza, Egypt ","A Bachelor's degree in a relevant computer science or communications major, software engineering, Or related field.1 to 2 Years hands on experience on Windows 2012 servers, and Microsoft Infrastructure services.Languages: Very good English (oral/written)Preferably certified as MCSE in windows operating systems.","Full job descriptionPOSITION SUMMARYResponsible for the implementation and support for the Microsoft Windows environment. Serves as a technical resource in Windows administration and monitoringBasic Purpose of the Role             The System Administrator (SA) is responsible for effective provisioning, installation/configuration, operation, and maintenance of systems hardware and software and related infrastructure. This individual participates in technical research and development to enable continuing innovation within the infrastructure. This individual ensures that system hardware, operating systems, software systems, and related procedures adhere to organizational values Skills and AbilitiesWhich may be representative but not all inclusive of those commonly associated with this position.One year of system administration with Windows Server 2016 and 2019 operating systems.Experience in Microsoft Active Directory, DNS, DHCP, and Group PolicyExperience with automated monitoring systems and technologies, with practical knowledge of MS SCOM/SCCMPrevious work with Microsoft Clustering technology Experience in server and desktop virtualization platforms such as VMWare, Hyper-V.Previous work with Microsoft Exchange 2019.Previous work with Microsoft SharePoint 2019Previous work with Microsoft SQL 2016/2019Experience scripting experience with Powershell is preferredStrong communication skills, analytical ability, judgment and the ability to work effectively with other systems technical staff, internal business customers, and external consultants and vendors.Preferably certified as MCSA Or MCSE in windows operating systems."
9,Software Engineer,Etisalat Egypt -,"6th of October, Giza, Egypt ",§ B. Sc. in Communications Engineering § CCNA certified.§ Very Good Knowledge in networking solutions and services. § Very good writing and reporting skills. § Very good communication skills.§ Very good in English language. § Ability to work under stress and pressure. § MS knowledge is required. § Flexibility in terms of working hours.§ CCNP Certified § Cisco Routing Certified§ Previous experience within ISP Providers preferred.§ CCNA Certificate § Cisco Routing Certificate § Soft Skills,"§ Handling Enterprise customer’s technical problems. § Receiving customer complaint via Mail, call and customer portal. § Effective communication in handling hard calls for frustrated customers. § Making first troubleshooting on customer connection. § Solving customer Trouble Tickets as FCR.§ Escalating Trouble Tickets which not solved as FCR to concerned team with providing appropriate solution.§ Working to escalate the repeated problems to finalize it permanently. § Following and finalizing Key Accounts customers’ problems. § Handling customer high level internal network technical requests. § Handling complex routing complaints with 2nd level NOC. § Handling complex configuration modifications from both Provider & customer edges requested from customers. § Supporting NOC support coordinator by Handling customers’ night emergency technical change requests (TCRs) § Supporting NOC support coordinator by Handling non-technical complaints and requests during night shift. § Supporting NOC support coordinator by following Call Back during night shift. Operation Target: § Working to achieve First Call Resolution target. § Achieve them queue SL (80/20). § Achieving routing / configuration changes SRs SL. § Achieving SRs SL and escalation time § Working to enhance NPS score. Customer Experience: § Handling customer’s emails professionally. § Adhering to call standards in order to provide excellent service to our customers. § Handling queue SRs and requests."
